City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,bowen,-20.0167,148.2333,29.47,70,100,3.43,AU,1675296059
228,tambovka,50.0969,128.0489,-25.68,94,7,2.83,RU,1675296059
229,miles city,46.4083,-105.8406,2.54,60,0,3.6,US,1675295913
230,matara,5.9485,80.5353,23.22,85,100,1.97,LK,1675296060
231,tara,56.8944,74.371,-15.46,95,45,1.97,RU,1675296061
232,la tuque,47.4334,-72.7824,-10.86,79,100,3.6,CA,1675295832
233,bud,39.447,-86.1758,-1.73,54,80,0.54,US,1675296061
234,cabedelo,-6.9811,-34.8339,27.37,77,30,4.35,BR,1675296062
235,faanui,-16.4833,-151.75,27.77,73,84,8.58,PF,1675296063
236,kovdor,67.5662,30.4758,-8.78,97,100,1.23,RU,1675296066
237,laela,-8.5667,32.05,14.56,92,45,1.77,TZ,1675296066
238,santa rosalia,27.3167,-112.2833,13.98,60,62,5.22,MX,1675296067
239,kakonko,-3.2828,30.9642,16.78,90,47,1.55,TZ,1675296068
240,ahipara,-35.1667,173.1667,24.01,68,100,3.6,NZ,1675296068
241,san quintin,30.4833,-115.95,14.59,52,1,2.17,MX,1675296070
242,cukai,4.25,103.4167,23.97,93,100,1.92,MY,1675296072
243,peniche,39.3558,-9.3811,8.58,89,0,3.29,PT,1675296072
244,requena,39.4883,-1.1004,2.67,77,0,1.42,ES,1675296076
245,nova granada,-20.5339,-49.3142,24.14,87,99,1.06,BR,1675296077
246,polahongon,10.5288,124.9694,27.78,93,97,2.13,PH,1675296078
247,pundaguitan,6.3711,126.1689,26.61,83,99,8.13,PH,1675296082
248,erenhot,43.6475,111.9767,-12.9,39,38,3.11,CN,1675296084
249,touros,-5.1989,-35.4608,26.87,77,100,5.89,BR,1675296063
250,atar,20.5169,-13.0499,20.82,11,100,2.01,MR,1675296086
251,smidovich,48.6,133.8167,-24.24,91,12,2.93,RU,1675296087
252,biskamzha,53.4497,89.5272,-16.65,97,69,1.77,RU,1675296088
253,izberbash,42.5696,47.8645,4.03,84,73,2.47,RU,1675296088
254,inuvik,68.3499,-133.7218,-30.44,72,20,1.54,CA,1675296089
255,ishigaki,24.3448,124.1572,19.07,94,75,4.63,JP,1675296089
256,ayagoz,47.9714,80.4392,-18.71,93,71,3.86,KZ,1675296090
257,pilani,28.3684,75.6041,12.25,37,0,3.41,IN,1675296090
258,bethanien,-26.502,17.1583,21.62,39,4,2.84,NA,1675296091
259,champerico,14.3,-91.9167,32.3,64,39,4.4,GT,1675296091
260,deder,9.3167,41.45,12.43,42,1,1.89,ET,1675296092
261,xingcheng,40.6167,120.7167,-7.59,41,90,1.31,CN,1675296092
262,belturbet,54.1,-7.45,8.95,92,88,4.48,IE,1675296093
263,mogok,22.9167,96.5,16.18,57,85,0.72,MM,1675296094
264,san carlos de bariloche,-41.1456,-71.3082,21.86,24,0,9.26,AR,1675296059
265,ribeira grande,38.5167,-28.7,12.1,84,19,3.13,PT,1675296095
266,iskateley,67.6803,53.1512,-5.56,91,100,6.03,RU,1675296095
267,kaeo,-35.1,173.7833,23.58,72,100,2.32,NZ,1675296060
268,georgiyevka,43.0369,74.7114,-4.98,93,97,1.0,KZ,1675296096
269,ayacucho,-13.1583,-74.2239,16.92,59,40,3.6,PE,1675295762
270,mugan,35.9404,101.3842,-5.62,56,87,1.23,CN,1675296097
271,cockburn town,21.4612,-71.1419,24.96,74,8,8.85,TC,1675296097
272,basco,20.4487,121.9702,23.86,79,100,6.65,PH,1675296098
273,grand gaube,-20.0064,57.6608,25.22,83,9,0.45,MU,1675296098
274,vanimo,-2.6741,141.3028,28.92,67,79,0.98,PG,1675296099
275,puerto cabezas,14.0351,-83.3888,27.98,83,40,5.14,NI,1675296099
276,vila velha,-20.3297,-40.2925,25.97,86,0,6.17,BR,1675296100
277,kargasok,59.0556,80.8572,-16.65,95,55,3.02,RU,1675296100
278,broken hill,-31.95,141.4333,19.63,52,0,5.39,AU,1675295879
279,bathsheba,13.2167,-59.5167,25.34,69,40,5.66,BB,1675296101
280,comodoro rivadavia,-45.8667,-67.5,20.92,37,0,5.14,AR,1675296102
281,linxia,35.6003,103.2064,-5.42,44,100,0.69,CN,1675296102
282,rafai,4.95,23.9167,21.75,43,5,0.5,CF,1675296103
283,trairi,-3.2778,-39.2689,25.82,86,89,4.24,BR,1675296051
284,quelimane,-17.8786,36.8883,25.97,83,20,0.0,MZ,1675296103
285,innisfail,-17.5333,146.0333,30.01,70,97,1.84,AU,1675296104
286,bukan,36.521,46.2089,0.94,80,97,3.27,IR,1675296104
287,santa maria,-29.6842,-53.8069,28.61,58,20,4.63,BR,1675296105
288,korla,41.7597,86.1469,-7.26,80,5,2.21,CN,1675296032
289,ranong,9.9658,98.6348,20.96,80,98,1.22,TH,1675295824
290,shache,38.4167,77.2406,-7.34,86,99,1.95,CN,1675295924
291,lorengau,-2.0226,147.2712,29.15,62,97,2.27,PG,1675296106
292,terracina,41.2863,13.2217,9.22,71,79,2.11,IT,1675296106
293,sabang,5.8933,95.3214,27.54,76,94,5.68,ID,1675296107
294,miyako,39.6367,141.9525,0.2,56,4,8.29,JP,1675296107
295,poya,-21.35,165.15,29.86,58,85,0.57,NC,1675296107
296,adamas,36.7333,24.4333,11.66,52,18,6.41,GR,1675296108
297,hofn,64.2539,-15.2082,-2.14,69,73,4.9,IS,1675296108
298,bogorodskoye,56.55,37.8833,-5.52,96,90,3.12,RU,1675296109
299,inhambane,-23.865,35.3833,24.4,74,17,4.14,MZ,1675296109
300,chara,56.9064,118.2631,-27.6,77,63,0.84,RU,1675296110
301,yerbogachen,61.2767,108.0108,-19.86,98,98,3.12,RU,1675296105
302,aimores,-19.4958,-41.0639,23.5,78,69,1.57,BR,1675296110
303,tanda,26.55,82.65,9.37,79,0,3.43,IN,1675296111
304,trindade,-16.6494,-49.4889,26.86,82,100,0.7,BR,1675296111
305,longyearbyen,78.2186,15.6401,-10.09,62,20,7.72,SJ,1675296112
306,anadyr,64.75,177.4833,-3.72,93,40,6.0,RU,1675296099
307,muros,42.7762,-9.0603,7.13,84,4,3.13,ES,1675296112
308,osa,57.2829,55.4567,-21.27,99,49,1.4,RU,1675296113
309,howard springs,-12.497,131.047,27.77,97,87,4.82,AU,1675296114
310,tougan,13.0667,-3.0667,24.05,9,54,3.75,BF,1675296114
311,pangnirtung,66.1451,-65.7125,-28.0,47,20,1.54,CA,1675296115
312,flin flon,54.7682,-101.865,-26.09,53,20,4.63,CA,1675296115
313,komsomolskiy,40.4272,71.7189,-1.6,80,100,1.03,UZ,1675296022
314,zinder,13.8072,8.9881,19.6,17,75,4.73,NE,1675296116
315,salalah,17.0151,54.0924,19.61,77,80,1.92,OM,1675296116
316,iraucuba,-3.7461,-39.7833,24.38,87,35,1.83,BR,1675296116
317,leshukonskoye,64.8989,45.7622,-5.03,94,100,3.22,RU,1675296117
318,oyama,36.3,139.8,6.44,23,62,5.52,JP,1675296117
319,bac lieu,9.285,105.7244,24.94,86,93,4.69,VN,1675296118
320,bosaso,11.2842,49.1816,22.69,72,8,2.46,SO,1675296119
321,itarema,-2.9248,-39.9167,26.07,83,91,5.2,BR,1675296119
322,asyut,27.181,31.1837,11.1,61,24,3.48,EG,1675296120
323,souillac,-20.5167,57.5167,25.21,88,40,1.54,MU,1675296120
324,saldanha,-33.0117,17.9442,17.03,90,1,6.84,ZA,1675296120
325,garowe,8.4054,48.4845,18.51,74,0,3.76,SO,1675296121
326,puerto montt,-41.4698,-72.9447,18.46,55,0,4.63,CL,1675296122
327,awjilah,29.1081,21.2869,11.01,62,12,3.84,LY,1675296113
328,aksu,41.1231,80.2644,-10.89,88,42,1.96,CN,1675296123
329,kimbe,-5.5502,150.1429,28.83,73,100,1.73,PG,1675296124
330,forbes,-33.3833,148.0167,26.99,26,0,4.16,AU,1675296125
331,guadalupe victoria,32.2869,-115.105,19.03,12,11,4.92,MX,1675296127
332,severo-kurilsk,50.6789,156.125,-5.02,62,74,2.23,RU,1675296127
333,xuddur,4.1213,43.8894,21.28,55,57,5.29,SO,1675296128
334,bay city,43.5945,-83.8889,-3.82,68,0,5.66,US,1675296129
335,dombarovskiy,50.7587,59.5386,-19.52,85,2,1.61,RU,1675296130
336,shahrud,36.4182,54.9763,2.0,68,4,1.47,IR,1675295954
337,tazovskiy,67.4667,78.7,-18.09,99,76,3.11,RU,1675296132
338,battle creek,42.3212,-85.1797,-6.82,41,0,4.12,US,1675296107
339,sinnamary,5.3833,-52.95,24.5,87,93,3.2,GF,1675296134
340,samana,19.2056,-69.3369,24.98,72,23,4.47,DO,1675296015
341,russell,32.3502,-85.1999,15.78,88,100,0.0,US,1675296135
342,manta,-0.95,-80.7333,28.88,74,75,5.66,EC,1675296131
343,liverpool,53.4106,-2.9779,9.52,83,75,8.75,GB,1675296025
344,huarmey,-10.0681,-78.1522,22.77,78,63,3.58,PE,1675296137
345,taltal,-25.4,-70.4833,21.49,79,54,2.31,CL,1675296138
346,auki,-8.7676,160.7034,29.65,69,99,2.13,SB,1675296140
347,tucuma,-0.1833,-50.05,23.05,94,100,1.89,BR,1675296140
348,mount gambier,-37.8333,140.7667,13.89,83,99,7.75,AU,1675296142
349,novo aripuana,-5.1206,-60.3797,23.27,96,72,1.35,BR,1675296143
350,puerto escondido,15.85,-97.0667,28.46,65,0,0.0,MX,1675296144
351,xiaoyi,34.6178,109.703,2.39,29,100,1.61,CN,1675296145
352,sao jose da coroa grande,-8.8978,-35.1478,25.89,79,16,3.16,BR,1675296148
353,bossangoa,6.4926,17.4552,25.68,19,47,1.26,CF,1675296149
354,pierre,44.3683,-100.351,0.51,59,0,2.06,US,1675295884
355,samarai,-10.6167,150.6667,29.01,72,97,4.45,PG,1675296149
356,bambous virieux,-20.3428,57.7575,25.14,88,40,1.54,MU,1675296150
357,mountain home,43.133,-115.6912,-3.87,62,76,3.74,US,1675296150
358,tommot,58.9564,126.2925,-19.64,94,100,4.65,RU,1675296151
359,utrecht,52.0,5.25,8.88,89,100,2.68,NL,1675296106
360,jaque,7.5175,-78.1703,26.67,79,57,2.28,PA,1675296151
361,makakilo city,21.3469,-158.0858,26.66,73,100,2.79,US,1675296152
362,bilibino,68.0546,166.4372,-20.21,100,96,1.36,RU,1675296153
363,rio verde de mato grosso,-18.9181,-54.8442,23.86,87,99,0.7,BR,1675296153
364,harper,4.375,-7.7169,26.39,87,6,3.69,LR,1675296154
365,olga,43.7444,135.2892,-11.1,56,2,4.62,RU,1675296154
366,saquena,-4.6667,-73.5167,25.07,81,97,1.13,PE,1675296155
367,okmulgee,35.6234,-95.9605,-0.9,55,0,2.57,US,1675296155
368,marienburg,54.0359,19.0266,3.8,98,97,4.09,PL,1675296156
369,bereda,43.2686,-7.5406,0.64,100,36,1.52,ES,1675296156
370,lata,40.1629,-8.3327,3.37,85,1,1.68,PT,1675296157
371,lubao,14.9167,120.55,26.04,80,48,3.13,PH,1675296158
372,almaznyy,48.0448,40.045,-0.08,96,100,3.34,RU,1675296158
373,nichinan,31.6,131.3667,11.82,65,90,4.54,JP,1675296158
374,urumqi,43.801,87.6005,-17.47,92,40,2.0,CN,1675296159
375,gat,31.61,34.7642,11.38,100,94,9.14,IL,1675296152
376,road town,18.4167,-64.6167,25.02,83,40,3.09,VG,1675296160
377,mafinga,-7.25,35.0667,18.53,83,9,1.09,TZ,1675296161
378,alta floresta,-9.8756,-56.0861,22.24,95,25,1.27,BR,1675296116
379,talnakh,69.4865,88.3972,-12.66,96,100,4.05,RU,1675296017
380,soni,-4.85,38.3667,16.85,83,43,0.92,TZ,1675296162
381,skibbereen,51.55,-9.2667,10.62,90,100,7.51,IE,1675296162
382,velika gorica,45.7125,16.0756,1.77,88,0,0.51,HR,1675296163
383,roma,43.2128,-75.4557,-5.58,63,100,4.12,US,1675295950
384,makaha,21.4694,-158.2175,27.43,77,100,2.88,US,1675296164
385,richards bay,-28.783,32.0377,23.08,87,79,5.59,ZA,1675296164
386,nassau,40.7507,-73.5829,2.74,50,0,1.79,US,1675296138
387,mount isa,-20.7333,139.5,22.87,83,100,3.09,AU,1675296052
388,namatanai,-3.6667,152.4333,29.07,66,98,3.12,PG,1675296156
389,iqaluit,63.7506,-68.5145,-30.15,55,75,2.57,CA,1675296014
390,shenzhen,22.5455,114.0683,20.63,94,4,2.16,CN,1675296166
391,catamarca,-28.4696,-65.7852,28.0,52,10,4.71,AR,1675296166
392,batagay-alyta,67.8006,130.4114,-30.32,100,100,0.44,RU,1675296166
393,taoudenni,22.6783,-3.9836,14.41,18,83,5.45,ML,1675296158
394,isangel,-19.55,169.2667,29.1,72,29,1.85,VU,1675296083
395,praia,14.9215,-23.5087,20.3,73,40,8.23,CV,1675296167
396,arlit,18.7369,7.3853,18.39,16,32,3.93,NE,1675296168
397,geraldton,-28.7667,114.6,31.23,33,0,7.72,AU,1675296168
398,miri,4.4148,114.0089,23.08,100,20,1.03,MY,1675296169
399,kahului,20.8947,-156.47,26.65,80,40,5.14,US,1675296169
400,moron,-34.6534,-58.6198,25.59,77,100,3.88,AR,1675296147
401,yining,29.0361,114.5636,7.82,61,100,2.1,CN,1675296170
402,karratha,-20.7377,116.8463,30.67,61,7,3.02,AU,1675296171
403,teguldet,57.3064,88.1667,-26.58,100,100,1.06,RU,1675296171
404,along,28.1667,94.7667,11.86,71,3,0.72,IN,1675296172
405,glencoe,-28.1783,30.147,15.11,95,57,0.96,ZA,1675296172
406,asau,46.4333,26.4,1.51,91,89,3.41,RO,1675296173
407,kabare,-2.4683,28.8242,14.99,92,63,0.85,CD,1675296173
408,la solana,38.9442,-3.2381,3.2,52,0,1.99,ES,1675296174
409,muli,2.9167,73.5667,26.69,74,100,5.58,MV,1675296174
410,were ilu,10.6,39.4333,9.55,52,51,3.03,ET,1675296175
411,miraflores,19.2167,-98.8083,22.24,34,0,2.76,MX,1675296175
412,valleyview,55.0667,-117.2859,-21.98,71,100,2.57,CA,1675296175
413,roald,62.5833,6.1333,2.09,93,75,5.14,NO,1675296176
414,sovetskiy,61.3614,63.5842,-13.22,98,61,1.71,RU,1675296176
415,seoul,37.5683,126.9778,-4.31,68,0,2.57,KR,1675295409
416,fort frances,48.5999,-93.4003,-14.41,83,98,1.46,CA,1675296058
417,capinzal,-27.3436,-51.6119,22.02,82,49,1.56,BR,1675296177
418,vao,-22.6667,167.4833,26.51,77,55,2.8,NC,1675296178
419,batemans bay,-35.7167,150.1833,22.28,34,15,2.79,AU,1675296178
420,santo domingo,18.5001,-69.9886,25.82,77,20,4.12,DO,1675295943
421,nemuro,43.3236,145.575,-4.39,75,99,15.42,JP,1675296179
422,susehri,40.1644,38.0867,-1.59,93,100,2.44,TR,1675296179
423,panzhihua,26.5851,101.7128,9.84,58,5,0.95,CN,1675296180
424,ambilobe,-13.2,49.05,23.58,94,92,0.65,MG,1675296180
425,mega,4.05,38.3,17.01,40,16,2.38,ET,1675296181
426,benguela,-12.5763,13.4055,25.1,77,96,1.28,AO,1675296181
